states,crime type,Year,Revenge /Settling scores,Greed/ Money,Extortion,Cause Disrepute,Prank/ Satisfaction of Gaining Control ,Fraud/ Illegal Gain,Eve teasing/ Harassment,Others,Total
Andhra Pradesh,Cyber Crimes By Motives,2022,10,42,0,0,0,219,225,137,651
Arunachal Pradesh,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,10,10
Assam,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,154,154
Bihar,Cyber Crimes By Motives,2022,0,157,0,3,0,0,0,1,139
Chhattisgarh,Cyber Crimes By Motives,2022,0,0,2,0,0,4,17,78,101
Goa,Cyber Crimes By Motives,2022,0,3,0,0,0,10,4,41,58
Gujarat,Cyber Crimes By Motives,2022,5,16,0,2,0,7,12,38,77
Haryana,Cyber Crimes By Motives,2022,0,33,0,0,0,1,18,260,323
Himachal Pradesh,Cyber Crimes By Motives,2022,2,0,2,6,0,4,10,4,28
Jammu and Kashmir,Cyber Crimes By Motives,2022,0,14,0,1,1,1,5,24,46
Jharkhand,Cyber Crimes By Motives,2022,0,9,0,0,1,4,2,10,26
Karnataka,Cyber Crimes By Motives,2022,0,98,5,6,0,118,67,244,533
Kerala,Cyber Crimes By Motives,2022,28,28,0,25,0,44,136,127,383
Madhya Pradesh,Cyber Crimes By Motives,2022,2,0,0,6,0,32,61,241,342
Maharashtra,Cyber Crimes By Motives,2022,15,133,14,75,15,210,233,212,907
Manipur,Cyber Crimes By Motives,2022,0,0,0,0,0,1,0,0,1
Meghalaya,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,17,17
Mizoram,Cyber Crimes By Motives,2022,7,0,0,0,0,0,0,0,0
Nagaland,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,0,0
Orissa,Cyber Crimes By Motives,2022,15,8,0,1,0,51,0,29,104
Punjab,Cyber Crimes By Motives,2022,3,8,3,7,6,17,36,76,156
Rajasthan,Cyber Crimes By Motives,2022,17,51,0,1,0,18,61,163,297
Sikkim,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,0,0
Tamil Nadu,Cyber Crimes By Motives,2022,8,6,0,1,0,27,13,35,90
Tripura,Cyber Crimes By Motives,2022,0,0,0,3,0,3,5,3,14
Uttar Pradesh,Cyber Crimes By Motives,2022,12,84,19,0,14,375,161,17,682
Uttarakhand,Cyber Crimes By Motives,2022,0,0,4,0,0,4,12,7,27
West Bengal,Cyber Crimes By Motives,2022,13,110,24,0,0,66,13,114,342
Total (States),Cyber Crimes By Motives,2022,107,850,73,137,37,1216,1091,2042,5508
Andaman and Nicobar,Cyber Crimes By Motives,2022,0,15,0,0,0,0,1,2,18
Chandigarh,Cyber Crimes By Motives,2022,5,0,0,0,0,0,0,6,11
Dadra and Nagar Haveli,Cyber Crimes By Motives,2022,41,0,0,0,0,0,0,0,0
Daman and Diu,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,1,1
Delhi,Cyber Crimes By Motives,2022,0,1,0,9,2,24,24,90,150
Lakshadweep,Cyber Crimes By Motives,2022,0,0,0,0,0,0,0,0,0
Puducherry,Cyber Crimes By Motives,2022,0,0,0,2,0,0,0,3,5
Total (UTs),Cyber Crimes By Motives,2022,5,16,0,11,2,24,25,102,185
Total (All India),Cyber Crimes By Motives,2022,112,821,73,148,39,1240,1116,2144,5693
